variant,auroc,ci_low,ci_high,spec_at_sens95,auroc_LASUTH,auroc_LUTH,auroc_OAUTHC,auroc_UITH,auroc_retrospective
input: identity,0.7166458072590739,0.630531914893617,0.7992615769712139,0.1411764705882353,0.9333333333333333,0.8541666666666666,0.6158088235294117,0.75,0.7824324324324324
score: site znorm,0.7193992490613266,0.6317568836045058,0.8016332916145181,0.07058823529411765,0.9333333333333333,0.8541666666666666,0.6158088235294117,0.75,0.7824324324324324
score: site rank,0.7325406758448061,0.6469931163954943,0.8135247183979974,0.06470588235294118,0.9333333333333333,0.8541666666666666,0.6158088235294117,0.75,0.7824324324324324
input: site-diag→MSK,0.7060075093867335,0.6118836045056321,0.7923717146433041,0.041176470588235294,0.9333333333333333,0.8125,0.6360294117647058,0.6666666666666666,0.779054054054054
input: site-diag→MSK (α=0.5),0.7096370463078847,0.6189455569461827,0.7933792240300375,0.08823529411764706,0.9666666666666667,0.8333333333333333,0.6231617647058824,0.6666666666666667,0.7817567567567568
input: site-diag→pooled,0.7030037546933667,0.6135168961201503,0.7868648310387986,0.06470588235294118,0.9333333333333333,0.8333333333333333,0.6066176470588235,0.7916666666666667,0.7824324324324324
input: site-CORAL→MSK,0.6969962453066333,0.61238423028786,0.7763642052565707,0.12941176470588237,0.7666666666666666,0.7291666666666666,0.5974264705882353,0.625,0.7756756756756756
input: bag-diag→MSK (instance norm),0.6591989987484356,0.5709605757196494,0.7471902377972465,0.03529411764705882,0.6666666666666666,0.7916666666666666,0.6075367647058824,0.49999999999999994,0.7587837837837837
