variant,ALL_maxsqrtn,ALL_mean,ALL_1slide,OAUTHC_maxsqrtn,OAUTHC_mean,OAUTHC_1slide,retro_maxsqrtn,retro_mean,retro_1slide
identity,0.7166458072590739,0.6591989987484356,0.6479249061326658,0.6158088235294117,0.45128676470588236,0.4712867647058824,0.7824324324324324,0.7831081081081082,0.7760135135135134
site-diag→MSK,0.7060075093867335,0.6530663329161452,0.6429724655819774,0.6360294117647058,0.4852941176470589,0.49563419117647056,0.779054054054054,0.7722972972972973,0.7726148648648646
site-diag→MSK (α=0.5),0.7096370463078847,0.6515644555694617,0.6450513141426784,0.6231617647058824,0.4659926470588236,0.486985294117647,0.7817567567567568,0.7749999999999999,0.7814527027027027
site-diag→pooled,0.7030037546933667,0.6491864831038798,0.6372265331664582,0.6066176470588235,0.44852941176470584,0.47653492647058826,0.7824324324324324,0.7871621621621622,0.7786554054054053
site-CORAL→MSK,0.6969962453066333,0.6585732165206508,0.6443416770963705,0.5974264705882353,0.4696691176470589,0.47724264705882347,0.7756756756756756,0.7777027027027027,0.758168918918919
bag-diag→MSK (instance norm),0.6591989987484356,0.6201501877346683,0.6094443053817271,0.6075367647058824,0.49264705882352944,0.49790441176470585,0.7587837837837837,0.7554054054054054,0.7244999999999999
patient-mean + site znorm,,0.66720901126408,,,,,,,
patient-mean + site rank,,0.6724655819774717,,,,,,,
