tile,is_tumor,wagner_attn,vl_msi_minus_mss,vl_quality
0,False,6.317958e-05,-0.011022851,0.011469346
1,False,6.607595e-05,-0.01189801,-0.024846487
2,False,6.569119e-05,0.0017027771,0.007293814
3,False,6.6599256e-05,-0.0148428315,-0.025600888
4,False,6.422919e-05,-0.01765723,0.01335032
5,False,6.213778e-05,-0.039453663,0.014904326
6,False,5.797699e-05,-0.023494355,0.019988561
7,False,6.81897e-05,-0.044711187,-0.0055026747
8,False,6.674169e-05,0.00053267553,-0.020505495
9,False,6.393992e-05,0.0071703987,-0.016819805
10,False,6.793068e-05,-0.0008746274,-0.010096478
11,False,6.756502e-05,-0.02014158,0.013248357
12,False,6.487372e-05,-0.009796167,-0.0025762785
13,False,6.262656e-05,-0.033105455,0.01936732
14,False,6.1739054e-05,-0.008669761,0.0143606905
15,False,6.4205924e-05,-0.034037784,0.025785236
16,False,6.7119654e-05,-0.024905648,0.016556796
17,False,6.53422e-05,-0.0052257255,0.015890643
18,False,6.860758e-05,-0.02660315,0.0155361295
19,False,6.571409e-05,-0.011821631,0.012664834
20,False,6.5860164e-05,-0.011200152,0.011430615
21,False,6.5233966e-05,0.0016866513,-0.017071959
22,False,6.602062e-05,-0.01692485,-0.00901951
23,False,6.8514244e-05,-0.02625398,-0.0040320456
24,False,6.250362e-05,-0.028452791,-0.014601912
25,False,6.298716e-05,-0.013782222,-0.00056888163
26,False,6.017791e-05,0.0030536354,0.0028810091
27,False,6.047585e-05,-0.0017318344,-0.005598249
28,False,6.4746666e-05,-0.0383247,0.0102897305
29,False,6.864605e-05,-0.03345613,0.027020978
30,False,7.248332e-05,-0.018469816,0.012619026
31,False,6.668723e-05,-0.0009545344,0.028351553
32,False,6.753464e-05,-0.03679534,0.031433415
33,False,6.185834e-05,-0.013240876,-0.014524941
34,False,6.861033e-05,-0.03206682,0.009295283
35,False,6.568766e-05,-0.038179304,-0.01639577
36,False,6.314762e-05,-0.018371806,-0.043673042
37,False,6.182263e-05,-0.044282526,0.0006528646
38,False,6.309058e-05,-0.028323561,0.022007842
39,False,6.540413e-05,-0.010835756,0.011831541
40,False,6.678428e-05,-0.011355797,0.019320771
41,False,6.535214e-05,-0.03214082,-0.0015300596
42,False,6.233296e-05,-0.018596202,-0.019216787
43,False,6.741652e-05,-0.021971349,-0.00872675
44,False,6.5369044e-05,-0.020428482,-0.0070086457
45,False,6.5056025e-05,-0.04313728,-0.007814528
46,False,6.1333405e-05,-0.01622233,-0.022724915
47,False,6.475431e-05,-0.018624887,-0.0050523877
48,False,6.137989e-05,-0.015436055,0.0004207641
49,False,6.368321e-05,-0.033440594,-0.008960902
50,False,6.663711e-05,-0.020962007,0.013269395
51,False,7.256726e-05,-0.00014569238,0.015976492
52,False,6.510079e-05,-0.02277176,-0.008198482
53,False,6.433527e-05,-0.0147676915,-0.0058005564
54,False,6.049402e-05,-0.016641013,-0.004530189
55,False,6.225241e-05,-0.00507602,-0.0135879
56,False,6.474169e-05,-0.010525473,-0.011493873
57,False,6.547358e-05,-0.0078103244,-0.00090761296
58,False,6.0947146e-05,-0.017379355,0.01312063
59,False,6.891534e-05,-0.029019114,0.017203271
60,False,6.612784e-05,-0.020559179,0.024487384
61,False,6.701081e-05,-0.031766802,0.0101187425
62,False,6.092988e-05,-0.033367008,0.0042680074
63,False,6.061184e-05,-0.015049366,-0.009255334
64,False,6.0485658e-05,-0.0066185948,-0.009069867
65,False,6.307896e-05,-0.025783619,-0.020982116
66,False,6.549191e-05,-0.017081976,0.014357968
67,False,6.606351e-05,-0.01910232,0.0065257913
68,False,6.405994e-05,-0.018136563,-0.0037555955
69,False,6.4308064e-05,-0.015734617,-0.02223114
70,False,6.481547e-05,-0.014027748,0.0051670657
71,False,6.6217064e-05,-0.030636216,0.027572375
72,False,6.561769e-05,-0.014946983,0.012584532
73,False,6.4663756e-05,-0.011966161,0.005315123
74,False,6.287892e-05,-0.018492818,-0.011217479
75,False,6.232945e-05,-0.02717549,0.007528873
76,False,6.1011753e-05,-0.015476525,-0.009037651
77,False,6.0623144e-05,-0.02092594,-0.026784785
78,False,6.208805e-05,-0.011325042,-0.010825314
79,False,5.781239e-05,-0.04246473,-0.021352153
80,False,6.235091e-05,-0.008822713,-0.010574009
81,False,6.8042384e-05,-0.011245303,0.008435119
82,False,6.599712e-05,-0.015975855,-0.016658086
83,False,6.436581e-05,-0.015512306,-0.01585105
84,False,6.284548e-05,-0.014915369,-0.0032974118
85,False,6.4541e-05,-0.020402754,-0.004906198
86,False,6.1008643e-05,-0.018514182,0.003962365
87,False,6.6413275e-05,-0.01982648,0.00082595646
88,False,6.1306804e-05,-0.02125601,-0.022629708
89,False,6.1169216e-05,-0.01723396,-0.00035485718
90,False,5.8707563e-05,-0.027119618,0.0044162376
91,False,6.02377e-05,-0.015591836,-0.013799076
92,False,6.073356e-05,-0.006294972,-0.0037794355
93,False,6.232214e-05,-0.017251126,-0.01012899
94,False,6.728938e-05,-0.014933049,-2.7196482e-05
95,False,6.488347e-05,-0.025107484,-0.0052021937
96,False,6.4653585e-05,-0.017216263,-0.004488413
97,False,6.48051e-05,-0.029848224,-0.0023823045
98,False,6.5888795e-05,-0.016914776,-0.003982827
99,False,6.405886e-05,-0.018405935,0.026528947
