site,n,prevalence,pred_rate,accuracy,auroc
LASUTH,15,0.2,0.13333333333333333,0.9333333333333333,0.9166666666666666
LUTH,31,0.12903225806451613,0.12903225806451613,0.8709677419354839,0.75
OAUTHC,476,0.17436974789915966,0.3949579831932773,0.5189075630252101,0.43949845182255737
UITH,12,0.5,0.16666666666666666,0.5,0.6944444444444444
retrospective_msk,97,0.20618556701030927,0.29896907216494845,0.7422680412371134,0.7766233766233767
retrospective_oau,172,0.22093023255813954,0.28488372093023256,0.7732558139534884,0.8042026708562452
