feature,coef
y,-1.2409108875946124
cut_location_OAUTHC,-0.7607023253889038
site_OAUTHC,-0.5779746480969782
cut_location_nan,0.5077289918476162
stain_location_OAUTHC,-0.43496060377588136
site_UITH,-0.4083970852342144
stain_location_UITH,-0.4083970852342144
cut_location_UITH,-0.4083970852342144
site_retrospective_msk,-0.24121038614965684
stain_location_MSKCC,-0.24121038614965684
cut_location_LUTH,-0.18092263690910484
site_retrospective_oau,0.143014044321096
label_source_retrospective_mmr,-0.09819634182856245
cut_location_MSKCC,-0.09819634182856012
stain_location_LUTH,0.09657431001725286
site_LUTH,0.09657431001725286
log10_n_tiles,0.03869657194508943
