method,overall_auroc,oauthc_auroc,oauthc_n,residual_batch_auroc
oauthc_target_pooled,0.5854818523153942,0.48253676470588236,81,0.9932802937576499
oauthc_target_retrooau,0.5896120150187735,0.47518382352941174,81,0.09724602203182375
combat_global,0.5653316645807258,0.447610294117647,81,0.14209302325581397
raw,0.546683354192741,0.4246323529411765,81,0.9999265605875153
