group,aggregator,n,n_pos,auroc
OAUTHC_bin_4-6,raw_mean,11,2,0.5555555555555556
OAUTHC_bin_4-6,raw_max,11,2,0.9444444444444444
OAUTHC_bin_4-6,raw_median,11,2,0.5
OAUTHC_bin_4-6,raw_p75,11,2,0.8888888888888888
OAUTHC_bin_4-6,top3_mean,11,2,0.6666666666666667
OAUTHC_bin_4-6,top5_mean,11,2,0.5555555555555556
OAUTHC_bin_4-6,p95,11,2,0.9444444444444444
OAUTHC_bin_4-6,max_minus_Emax_MSS,11,2,0.9444444444444444
OAUTHC_bin_4-6,max_pct_under_MSS,11,2,1.0
OAUTHC_bin_4-6,max_over_sqrtn,11,2,1.0
OAUTHC_bin_7+,raw_mean,18,2,0.25
OAUTHC_bin_7+,raw_max,18,2,0.375
OAUTHC_bin_7+,raw_median,18,2,0.28125
OAUTHC_bin_7+,raw_p75,18,2,0.1875
OAUTHC_bin_7+,top3_mean,18,2,0.3125
OAUTHC_bin_7+,top5_mean,18,2,0.40625
OAUTHC_bin_7+,p95,18,2,0.25
OAUTHC_bin_7+,max_minus_Emax_MSS,18,2,0.28125
OAUTHC_bin_7+,max_pct_under_MSS,18,2,0.265625
OAUTHC_bin_7+,max_over_sqrtn,18,2,0.125
