n,Emax,q25,q50,q75,q90,q95
1,0.4223484027609229,0.2750201821327209,0.3880597949028015,0.5542363226413727,0.7140385806560516,0.84427410364151
2,0.5422348979860544,0.3947877138853073,0.526808351278305,0.6630744934082031,0.8267450332641602,0.8725751638412476
3,0.609468149125576,0.47954124957323074,0.5901468098163605,0.7478245496749878,0.861405324935913,0.8901761770248413
4,0.6571684765815735,0.5478155761957169,0.6457008123397827,0.7851942181587219,0.8725385069847107,0.9069711565971376
5,0.6725075059533119,0.5617495179176331,0.6643292009830475,0.8200190663337708,0.873271644115448,0.9064841270446776
6,0.7088904235363006,0.5870842039585114,0.7139086127281189,0.8476254940032959,0.8853021442890168,0.9090297222137452
7,0.7235644157528878,0.6060001105070114,0.7370848059654236,0.8568003177642822,0.8871545612812043,0.9104593396186828
8,0.736911725461483,0.6348261833190918,0.7501357793807983,0.8594340085983276,0.8901761770248413,0.9104593396186828
9,0.756498142182827,0.6525537371635437,0.7851942181587219,0.8614287674427032,0.9069711565971376,0.913110375404358
10,0.767734395056963,0.6811342239379883,0.7976016402244568,0.8633068799972534,0.9069711565971376,0.9105918914079664
11,0.7805912689566612,0.7070468664169312,0.8199716806411743,0.873271644115448,0.9077485382556915,0.913110375404358
12,0.7860245735943318,0.7059764266014099,0.8224850594997406,0.8725385069847107,0.9076061844825744,0.913746416568756
13,0.7910482404530048,0.7139086127281189,0.8267450332641602,0.8725385069847107,0.9076061844825744,0.913110375404358
14,0.8085322379469871,0.7468212246894836,0.8371265530586243,0.8810411691665649,0.9104593396186828,0.913746416568756
15,0.8108357774913311,0.7478245496749878,0.8459726572036743,0.8748042583465576,0.9104593396186828,0.913746416568756
16,0.8177917330563068,0.760217010974884,0.8459726572036743,0.8810411691665649,0.9104593396186828,0.913746416568756
17,0.8235919184684753,0.7665099501609802,0.8581171631813049,0.8851336240768433,0.9107244431972503,0.9352129697799684
18,0.8304629569649696,0.7844493985176086,0.8606735467910767,0.8868188261985779,0.9104593396186828,0.913746416568756
19,0.8303721411824226,0.7851942181587219,0.8594340085983276,0.8868188261985779,0.9104593396186828,0.913746416568756
20,0.8365986431837082,0.802058219909668,0.861545979976654,0.9064841270446776,0.913110375404358,0.9352129697799684
21,0.8402488933205604,0.802058219909668,0.8633068799972534,0.8901761770248413,0.913110375404358,0.9352129697799684
22,0.8429254489541054,0.81672602891922,0.8633068799972534,0.9064841270446776,0.913110375404358,0.9352129697799684
23,0.8490657352209091,0.8200190663337708,0.8705402612686157,0.9069711565971376,0.913110375404358,0.9352129697799684
24,0.8524932488203049,0.8243017196655273,0.8705402612686157,0.9064841270446776,0.913746416568756,0.9352129697799684
25,0.8526080385446548,0.8243017196655273,0.8659737706184387,0.9069711565971376,0.913746416568756,0.9352129697799684
26,0.8549358993172645,0.8298816680908203,0.8725385069847107,0.9069711565971376,0.913110375404358,0.9352129697799684
27,0.8591829623579978,0.839572012424469,0.873271644115448,0.9076061844825744,0.913746416568756,0.9352129697799684
28,0.8610839549899101,0.84427410364151,0.8729050755500793,0.9076061844825744,0.913746416568756,0.9352129697799684
29,0.8633141199946404,0.84427410364151,0.8744845986366272,0.9076061844825744,0.913746416568756,0.9352129697799684
30,0.8677093294858933,0.8476254940032959,0.8744845986366272,0.9076061844825744,0.913746416568756,0.9352129697799684
31,0.8668034006357193,0.853614091873169,0.8744845986366272,0.9076061844825744,0.913746416568756,0.9352129697799684
32,0.8670808563828468,0.8476254940032959,0.8744845986366272,0.9090297222137452,0.913746416568756,0.9503633975982666
33,0.8704381901025772,0.8544965386390686,0.8744845986366272,0.9076061844825744,0.913746416568756,0.9352129697799684
34,0.8708174151182174,0.8544965386390686,0.8748042583465576,0.9090297222137452,0.913746416568756,0.9352129697799684
35,0.8716284495592117,0.8544965386390686,0.8748042583465576,0.9076061844825744,0.913746416568756,0.9503633975982666
36,0.8759324969649315,0.8594340085983276,0.8748042583465576,0.9090297222137452,0.913746416568756,0.9503633975982666
37,0.8768060668706894,0.8594340085983276,0.8851336240768433,0.9104593396186828,0.9352129697799684,0.9503633975982666
38,0.8776844365596771,0.8606735467910767,0.8868188261985779,0.9104593396186828,0.9352129697799684,0.9503633975982666
39,0.8817382446527481,0.861545979976654,0.8851336240768433,0.9104593396186828,0.9352129697799684,0.9503633975982666
40,0.8787610847949981,0.861389696598053,0.8868188261985779,0.9104593396186828,0.9352129697799684,0.9503633975982666
41,0.8804637794494629,0.861389696598053,0.8851336240768433,0.9104593396186828,0.9352129697799684,0.9503633975982666
42,0.8814697268605233,0.861545979976654,0.8851336240768433,0.9104593396186828,0.9352129697799684,0.9503633975982666
43,0.8830097082853318,0.8633068799972534,0.8868188261985779,0.9104593396186828,0.9352129697799684,0.9503633975982666
44,0.8854384147524834,0.8659737706184387,0.8884975016117096,0.9104593396186828,0.9352129697799684,0.9503633975982666
45,0.8839948335289955,0.8628666549921036,0.8901761770248413,0.9104593396186828,0.9352129697799684,0.9503633975982666
46,0.8892623872160912,0.8716704845428467,0.9064841270446776,0.9104593396186828,0.9352129697799684,0.9503633975982666
47,0.8868532864451408,0.8659737706184387,0.8901761770248413,0.9104593396186828,0.9352129697799684,0.9503633975982666
48,0.8876041639447212,0.8705402612686157,0.8901761770248413,0.9104593396186828,0.9352129697799684,0.9503633975982666
49,0.8881961755156517,0.8716704845428467,0.8901761770248413,0.913110375404358,0.9352129697799684,0.9503633975982666
50,0.8875138402581215,0.8705402612686157,0.8868188261985779,0.9104593396186828,0.9352129697799684,0.9503633975982666
51,0.8909870265126228,0.8716704845428467,0.9064841270446776,0.913110375404358,0.9352129697799684,0.9503633975982666
52,0.8914324510097503,0.8716704845428467,0.9064841270446776,0.913110375404358,0.9352129697799684,0.9503633975982666
53,0.8937825595140457,0.8725385069847107,0.9069711565971376,0.913746416568756,0.9352129697799684,0.9503633975982666
54,0.8932669695615768,0.8725385069847107,0.9064841270446776,0.913110375404358,0.9352129697799684,0.9503633975982666
55,0.894435710966587,0.873271644115448,0.9069711565971376,0.913110375404358,0.9352129697799684,0.9503633975982666
56,0.8923858731389046,0.8725385069847107,0.9069711565971376,0.913110375404358,0.9352129697799684,0.9503633975982666
57,0.8932766010165214,0.8725385069847107,0.9069711565971376,0.913110375404358,0.9352129697799684,0.9503633975982666
58,0.8968540462851524,0.8744845986366272,0.9069711565971376,0.913110375404358,0.9352129697799684,0.9503633975982666
59,0.8937269939780236,0.873271644115448,0.9064841270446776,0.913110375404358,0.9352129697799684,0.9503633975982666
60,0.8973499515652656,0.8744845986366272,0.9069711565971376,0.913110375404358,0.9352129697799684,0.9503633975982666
