slide_id,n_tiles_used,tumor_fraction,mean_p_tum,status,frac_ADI,meanP_ADI,frac_BACK,meanP_BACK,frac_DEB,meanP_DEB,frac_LYM,meanP_LYM,frac_MUC,meanP_MUC,frac_MUS,meanP_MUS,frac_NORM,meanP_NORM,frac_STR,meanP_STR,frac_TUM,meanP_TUM
1210-2-16,4744.0,0.0006323777403035413,0.007305518400287387,ok,0.0008431703204047217,0.0038625145368605075,0.08347386172006746,0.09122689726915194,0.002318718381112985,0.007476911563465571,0.0,0.000817153447028724,0.8216694772344013,0.7724036638343659,0.09000843170320405,0.1065280293657698,0.0008431703204047217,0.006268499893829418,0.00021079258010118043,0.004110811689240828,0.0006323777403035413,0.007305518400287387
HP1353_21_1.pyramidal,3604.0,0.0,2.2800117346520395e-05,ok,0.0,2.2324162892173577e-06,1.0,0.9990826537397125,0.0,0.0006184698220185859,0.0,2.451073775896615e-05,0.0,0.00011708723645647544,0.0,8.029017392981852e-05,0.0,1.0444126653685016e-05,0.0,4.151162983421619e-05,0.0,2.2800117346520395e-05
HP1458_22.pyramidal,12877.0,0.010561466180010873,0.014371380627027504,ok,0.22730449638891045,0.21229949381582416,0.011881649452512232,0.017106628649223972,0.024928166498408014,0.026981873615777398,0.08231730993243767,0.08100459754241178,0.20633687970800652,0.21252678616811616,0.3375009707229945,0.33214509082619464,0.08091946882037741,0.08037218519950515,0.018249592296342317,0.023191963555919227,0.010561466180010873,0.014371380627027504
MSI_B23_2132,1885.0,0.0,7.612358053001831e-06,ok,0.0,2.4599196501400585e-06,1.0,0.9990411650581555,0.0,0.00048770787799350845,0.0,1.6241038240564438e-05,0.0,0.000355601348529744,0.0,2.0269448002843826e-05,0.0,1.8136022223230767e-05,0.0,5.080692915136341e-05,0.0,7.612358053001831e-06
1210-3-16,3897.0,0.14062099050551707,0.14770916943166076,ok,0.003849114703618168,0.008379729949508767,0.06979727995894278,0.07820628613127475,0.1147036181678214,0.11311430592777993,0.004618937644341801,0.01126497958121832,0.30484988452655887,0.2945930491779972,0.35642802155504233,0.32374239500316976,0.003079291762894534,0.011121785140363853,0.002052861175263023,0.011868299657026585,0.14062099050551707,0.14770916943166076
b22_1101_msi,20121.0,0.2212116694001292,0.2155626612421307,ok,0.22165896327220316,0.20967658211222062,0.043238407633815416,0.05802523169168897,0.11291685303911336,0.11362230978063582,0.006460911485512648,0.010816566323562257,0.26832662392525225,0.25821678489091066,0.05138909596938522,0.05323253629230565,0.004174742806023557,0.009628285447624885,0.07062273246856518,0.07121904221892048,0.2212116694001292,0.2155626612421307
HP2074_21_5.pyramidal,11410.0,0.0,1.92047919496087e-05,ok,0.0,7.115958810592074e-07,1.0,0.998951932060658,0.0,0.0007874652799973569,0.0,1.945644649025158e-05,0.0,3.1094438758839554e-05,0.0,0.00015897286791912286,0.0,8.083419441699689e-06,0.0,2.3079098904149048e-05,0.0,1.92047919496087e-05
B22_3700_MSI.pyramidal,13044.0,0.012649494020239191,0.023009355718365175,ok,7.666360012266176e-05,0.0008728189316319078,0.06539405090463048,0.09142941116801018,0.3430696105489114,0.33158194032561916,0.49294694878871514,0.4360194903082314,0.02491567003986507,0.032633525292278795,0.016712664826740265,0.03001650551270935,0.002529898804047838,0.008130300825337956,0.041704998466728,0.04630665191781601,0.012649494020239191,0.023009355718365175
HP2911_22_5.pyramidal,17924.0,0.2145726400357063,0.21222224710215734,ok,0.033418879714349474,0.030593802485712432,0.02393438964516849,0.02524852995554524,0.07096630216469538,0.07604198139084364,0.03018299486721714,0.03294566022096759,0.08642044186565499,0.10800579576666211,0.43623075206427137,0.39918089910540927,0.0798928810533363,0.07956777587183589,0.024380718589600534,0.03619330810086646,0.2145726400357063,0.21222224710215734
b22_1285_22,13148.0,0.06708244599939155,0.06818623206389028,ok,0.16565257073319137,0.1568536415006297,0.04928506236689991,0.05565246082509996,0.12838454517797385,0.1248560356553771,0.06388804380894432,0.06733401815328643,0.3030879221174323,0.2888135686561235,0.1410100395497414,0.1465561856089803,0.003118344995436568,0.009998441533818625,0.07849102525098875,0.08174941600279419,0.06708244599939155,0.06818623206389028
