filter,aggregator,site,n_bin,n_patients,n_msih,auroc,auprc,brier,mean_pred_mss,mean_pred_msih
tumor_frac<0.2,max,OAUTHC,all,10,5,0.36,0.5079365079365079,0.3824298010186079,0.2662507802248001,0.2043571770191192
tumor_frac<0.2,max,__overall__,1,10,5,0.28,0.44126984126984126,0.4246674173443867,0.372566157579422,0.2043571770191192
tumor_frac<0.2,max,OAUTHC,1,9,5,0.35,0.5444444444444445,0.4230007099594802,0.2999390736222267,0.2043571770191192
tumor_frac<0.3,mean,__overall__,all,4,2,0.25,0.5,0.4027005147151034,0.3972860500216484,0.26466562598943705
tumor_frac<0.3,mean,OAUTHC,all,3,2,0.5,0.8333333333333333,0.3903780916839561,0.1314976066350937,0.26466562598943705
tumor_frac<0.3,mean,__overall__,1,4,2,0.25,0.5,0.4027005147151034,0.3972860500216484,0.26466562598943705
tumor_frac<0.3,mean,OAUTHC,1,3,2,0.5,0.8333333333333333,0.3903780916839561,0.1314976066350937,0.26466562598943705
tumor_frac<0.3,max,__overall__,all,4,2,0.25,0.5,0.4027005147151034,0.3972860500216484,0.26466562598943705
tumor_frac<0.3,max,OAUTHC,all,3,2,0.5,0.8333333333333333,0.3903780916839561,0.1314976066350937,0.26466562598943705
tumor_frac<0.3,max,__overall__,1,4,2,0.25,0.5,0.4027005147151034,0.3972860500216484,0.26466562598943705
tumor_frac<0.3,max,OAUTHC,1,3,2,0.5,0.8333333333333333,0.3903780916839561,0.1314976066350937,0.26466562598943705
