slide_id,n_tiles_used,tumor_fraction,mean_p_tum,status,frac_ADI,meanP_ADI,frac_BACK,meanP_BACK,frac_DEB,meanP_DEB,frac_LYM,meanP_LYM,frac_MUC,meanP_MUC,frac_MUS,meanP_MUS,frac_NORM,meanP_NORM,frac_STR,meanP_STR,frac_TUM,meanP_TUM
1210-2-16,4744.0,0.0,0.003302010338368697,ok,0.00927487352445194,0.025702915170087548,0.022344013490725127,0.031067000990579047,0.10602866779089376,0.12681090738234843,0.0042158516020236085,0.010608720616594921,0.2565345699831366,0.23730331764434193,0.5950674536256324,0.5482086294092069,0.00505902192242833,0.010121977602164574,0.001475548060708263,0.006874520846307995,0.0,0.003302010338368697
HP1353_21_1.pyramidal,3604.0,0.0,0.0003188830983862881,ok,0.0022197558268590455,0.07618602887708896,0.6462264150943396,0.505660851237736,0.35127635960044395,0.38704843430026564,0.0,0.0008912694053074177,0.0,0.0005815495924313818,0.0002774694783573807,0.019197740983318806,0.0,0.0035833667336910057,0.0,0.006531875771774437,0.0,0.0003188830983862881
HP1458_22.pyramidal,12877.0,0.0006212627164712278,0.0012952588646850047,ok,0.004193523336180787,0.009607714098211966,0.005125417410887629,0.006056327474162074,0.05016696435505164,0.05628939488806786,0.0028733400636794283,0.005015513172980811,0.08860759493670886,0.08757491219020924,0.7716082938572649,0.7593294226999462,0.07641531412596102,0.07402316772013375,0.00038828919779451736,0.0008082888916030418,0.0006212627164712278,0.0012952588646850047
MSI_B23_2132,1885.0,0.0,4.3401097565655994e-05,ok,0.0,0.08499881013925459,0.846684350132626,0.5734301901932138,0.1506631299734748,0.3059778695013181,0.0,0.001149032713865347,0.0,0.0006402292844212824,0.002652519893899204,0.02208331603893251,0.0,0.009678266717614778,0.0,0.001998884313813947,0.0,4.3401097565655994e-05
1210-3-16,3897.0,0.00025660764690787786,0.0022711904662503913,ok,0.007698229407236336,0.021565512603831122,0.010520913523222993,0.016461959586790215,0.16653836284321272,0.17304636386635103,0.0,0.0013379090123122887,0.024890941750064153,0.037139697986719976,0.7893251218886322,0.7442507691153236,0.00025660764690787786,0.0012550996986554499,0.0005132152938157557,0.002671497663765845,0.00025660764690787786,0.0022711904662503913
b22_1101_msi,20121.0,0.1856269569106903,0.1714647434968637,ok,0.003031658466279012,0.009032732004906376,0.03160876695989265,0.036002164777968526,0.2921325977834104,0.29590378236683124,0.028080115302420355,0.04529768838479473,0.05461955171214154,0.05819660909697225,0.39058694895879925,0.36444318761311584,0.01361761343869589,0.017856394488933586,0.000695790467670593,0.0018026977696138234,0.1856269569106903,0.1714647434968637
HP2074_21_5.pyramidal,11410.0,0.0,0.00016390360588788838,ok,0.0007011393514460999,0.10644119421136228,0.5723926380368098,0.45694267118837717,0.4268185801928133,0.4170022600873365,0.0,0.0007028657879252206,0.0,0.00016304163174301988,8.764241893076249e-05,0.013564885956888746,0.0,0.003029956162174313,0.0,0.0019892213683049675,0.0,0.00016390360588788838
B22_3700_MSI.pyramidal,13044.0,0.0,0.0005469578764362548,ok,0.0,0.00038211167878654,0.001609935602575897,0.004603619473251896,0.8683685985893898,0.8179173001004131,7.666360012266176e-05,0.0025668993754918656,0.0026065624041705,0.006103142829952854,0.12503833180006133,0.16048940191324557,0.001916590003066544,0.0061603751431826,0.0003833180006133088,0.0012301916092394378,0.0,0.0005469578764362548
HP2911_22_5.pyramidal,17924.0,0.002845347020754296,0.00793947950022367,ok,0.005858067395670609,0.010665413071525865,0.00981923677750502,0.009125607135077951,0.23231421557688017,0.23809978058788595,0.0004463289444320464,0.0009854275035322759,0.0052443650970765456,0.007923981516903416,0.6798147734880607,0.6617132898271032,0.06332291899129659,0.06220183798339356,0.0003347467083240348,0.0013451828743541187,0.002845347020754296,0.00793947950022367
b22_1285_22,13148.0,0.0009126863401277761,0.0028159650153325257,ok,0.010800121691512017,0.022909419029371818,0.0019014298752662003,0.0036172969679024907,0.3065865530879221,0.3087115993382883,0.008670520231213872,0.01184379538033878,0.008214177061149984,0.017870381542198343,0.6612412534225738,0.6273677466654319,0.001445086705202312,0.0034315490069799282,0.00022817158503194403,0.0014322470541558634,0.0009126863401277761,0.0028159650153325257
HP2321_21.pyramidal,7679.0,0.0018231540565177757,0.00419973390309991,ok,0.0007813517385076181,0.0032461770145108225,0.06914962885792421,0.07535233811892689,0.6965750748795416,0.6570131625531481,0.0,0.000200209609163341,0.03333767417632504,0.04397724761693639,0.1959890610756609,0.21128099233224462,0.0023440552155228546,0.003894524091053614,0.0,0.0008356147609163168,0.0018231540565177757,0.00419973390309991
HP2069_21.pyramidal,14130.0,0.00148619957537155,0.0033162798455222534,ok,0.005095541401273885,0.01230060897538818,0.026043878273177636,0.027363083872545366,0.10445859872611465,0.10667324108980998,0.0,0.0008484853360220903,0.016065109695682943,0.022718809703081242,0.7777070063694268,0.7605805704131927,0.06829440905874026,0.06484999271918983,0.0008492569002123143,0.0013489280452483468,0.00148619957537155,0.0033162798455222534
b23_2222msi,1460.0,0.017123287671232876,0.018628635371440994,ok,0.012328767123287671,0.0663702799961328,0.4191780821917808,0.3432994689569049,0.38972602739726026,0.3953698735827575,0.0013698630136986301,0.007652742042854481,0.00821917808219178,0.013291175560959692,0.12465753424657534,0.12308560656570859,0.0273972602739726,0.031521699286557105,0.0,0.0007805186366839994,0.017123287671232876,0.018628635371440994
1210-4-16,1687.0,0.0011855364552459987,0.005407073058743683,ok,0.01896858328393598,0.03336573276851729,0.011855364552459988,0.01829726963466859,0.17012448132780084,0.17459978298124873,0.005334914048606995,0.010843534553765159,0.11855364552459988,0.1170390450401001,0.6727919383521044,0.6345078296206204,0.0011855364552459987,0.004912286753123163,0.0,0.0010274455892128713,0.0011855364552459987,0.005407073058743683
HP2020_22.pyramidal,12164.0,0.0010687273923051627,0.006676462300973162,ok,0.004110489970404472,0.009347974423830993,0.0030417625780993092,0.009386461135109589,0.17790200591910554,0.18281772875297392,0.0,0.00031323143686461325,0.22541926997698125,0.22707098647038415,0.5760440644524827,0.543508092907929,0.010111805327195002,0.017341348137522933,0.0023018743834265043,0.00353771443441157,0.0010687273923051627,0.006676462300973162
B2581_22_MSI.pyramidal,2992.0,0.0016711229946524064,0.005344237539842267,ok,0.0,0.00018454732870949028,0.0016711229946524064,0.004513955343640484,0.13970588235294118,0.13228567056527651,0.0053475935828877,0.01259509141875854,0.0006684491978609625,0.0017425714616814895,0.027740641711229946,0.03417662581334374,0.8231951871657754,0.8091347794229289,0.0,2.2521105818640603e-05,0.0016711229946524064,0.005344237539842267
MSI-B464-23-,20440.0,4.892367906066536e-05,0.000405532772582095,ok,9.784735812133073e-05,0.04104348672338981,0.26413894324853227,0.2919455155252686,0.6879158512720157,0.5300616626329877,0.0013209393346379648,0.0024190015059533873,0.0017612524461839531,0.002745745280430802,0.04432485322896282,0.12401113291324853,0.00019569471624266145,0.0028265381307496207,0.00019569471624266145,0.004541384515389534,4.892367906066536e-05,0.000405532772582095
MSI-B985-22,16920.0,0.0,0.0002621723505539979,ok,0.0,0.043154639978822545,0.20916075650118204,0.2870236771551301,0.7734633569739953,0.5727863762886856,0.0,0.0009482564073396713,0.0,0.0003113154170558612,0.017375886524822696,0.08927699377886662,0.0,0.00169383515688918,0.0,0.004542733466656503,0.0,0.0002621723505539979
MSI-B985_3_22,16995.0,0.0,0.0002893714422318885,ok,0.0,0.043166659623965535,0.20447190350102973,0.2796638210983547,0.7785230950279494,0.5756075066361312,0.0,0.0009716566406469863,0.0,0.00031633346503708276,0.017005001471020888,0.09329299169514842,0.0,0.00166585787945849,0.0,0.005025801519025616,0.0,0.0002893714422318885
MSI-B1919-22,15505.0,0.12447597549177684,0.13214444601541392,ok,0.0,0.0007053816150373938,0.0018703643985811028,0.007501962757834759,0.326539825862625,0.3282121633949988,0.34356659142212187,0.3097004846511982,0.0023218316672041278,0.006670555078534509,0.17155756207674944,0.1733735662129854,0.029538858432763625,0.0410473971001275,0.0001289906481780071,0.0006440431738694348,0.12447597549177684,0.13214444601541392
MSI_B975-22,55.0,0.0,0.0003689076307086946,ok,0.0,0.03508273649931955,0.41818181818181815,0.4078610814633162,0.5818181818181818,0.5090510255260932,0.0,0.0009871186419071008,0.0,0.0007236407496894635,0.0,0.03599304940905793,0.0,0.003015485567252087,0.0,0.00691695451265608,0.0,0.0003689076307086946
