variant,lam,target,n_patients,n_msih,auroc,ci_low,ci_high,encoder
source-only LR,,OAUTHC,81,17,0.4494485294117647,0.2904411764705882,0.6140165441176468,uni2_mean
source-only MLP,0.0,OAUTHC,81,17,0.37500000000000006,0.23710937499999998,0.521139705882353,uni2_mean
multi-source DANN,0.3,OAUTHC,81,17,0.3648897058823529,0.21688878676470588,0.5183823529411764,uni2_mean
DANN + unlabelled target,0.1,OAUTHC,81,17,0.4255514705882353,0.28125,0.5808823529411764,uni2_mean
