cluster,n_slides,n_patients,is_outlier,mean_centroid_dist,mean_wagner_p,median_n_tiles,msih_prevalence,top_site,top_site_pct
-1,11,6,True,6.558302287037032,0.4594347151842984,2959.0,0.09090909090909091,OAUTHC,0.636
0,33,19,False,15.735692320821055,0.35886128653179517,5926.0,0.15151515151515152,OAUTHC,0.515
1,432,120,False,11.05481162427226,0.4168636015254176,4750.0,0.19444444444444445,OAUTHC,0.882
2,96,91,False,0.610922469712326,0.4092480308221032,2855.0,0.22916666666666666,retrospective_msk,0.969
3,47,11,False,11.125209877734095,0.6420150503833243,3401.0,0.2127659574468085,OAUTHC,1.0
4,23,2,False,9.859388417869203,0.72507796857668,1795.0,0.0,OAUTHC,1.0
5,70,36,False,4.249194889287697,0.40466983722788946,3763.5,0.18571428571428572,retrospective_oau,0.971
6,91,49,False,2.9050465429754584,0.42105381264463887,1562.0,0.2087912087912088,retrospective_oau,0.989
