cluster,n_slides,n_patients,is_outlier,mean_centroid_dist,mean_wagner_p,median_n_tiles,msih_prevalence,top_site,top_site_pct
-1,26,15,True,9.082319617495138,0.4658813029527664,1610.5,0.07692307692307693,OAUTHC,0.846
0,37,22,False,15.847795493257877,0.36679398449691564,4433.0,0.13513513513513514,OAUTHC,0.568
1,270,100,False,1.223852649899136,0.4185602602583391,2742.0,0.2222222222222222,retrospective_oau,0.611
2,25,2,False,11.806567888090413,0.7276926064491271,1299.0,0.0,OAUTHC,1.0
3,49,11,False,11.776583959634404,0.6310460959770241,3002.0,0.22448979591836735,OAUTHC,1.0
4,20,9,False,6.43703355375928,0.5472581863403321,4283.0,0.05,OAUTHC,0.9
5,107,35,False,6.665613681728876,0.4097130259272651,9444.0,0.2616822429906542,OAUTHC,0.813
6,188,34,False,8.920567648046436,0.4090466963404671,4991.0,0.1595744680851064,OAUTHC,0.968
7,81,52,False,6.853779142889012,0.3736914258312296,1260.0,0.20987654320987653,OAUTHC,0.802
