variant,lam,target,n_patients,n_msih,auroc,ci_low,ci_high,encoder
source-only LR,,OAUTHC,81,17,0.5542279411764706,0.39519761029411776,0.697610294117647,phaet_mean
source-only MLP,0.0,OAUTHC,81,17,0.5873161764705882,0.4181755514705882,0.7399126838235293,phaet_mean
multi-source DANN,0.3,OAUTHC,81,17,0.5533088235294118,0.38970588235294124,0.7040670955882352,phaet_mean
DANN + unlabelled target,0.1,OAUTHC,81,17,0.546875,0.3823299632352941,0.7049632352941175,phaet_mean
