threshold,target_sens,method,sensitivity,specificity,npv,n_splits,site,n_site_patients,n_site_positives
0.032780025,0.95,global,1.0,0.27450980392156865,1.0,,OAUTHC,64,13
0.043212459999999994,0.95,per_site_threshold,0.9230769230769231,0.29411764705882354,0.9375,5.0,OAUTHC,64,13
0.16294179894179894,0.95,per_site_isotonic,0.9230769230769231,0.29411764705882354,0.9375,5.0,OAUTHC,64,13
0.026870804,0.96,global,1.0,0.27450980392156865,1.0,,OAUTHC,64,13
0.043212459999999994,0.96,per_site_threshold,0.9230769230769231,0.29411764705882354,0.9375,5.0,OAUTHC,64,13
0.16294179894179894,0.96,per_site_isotonic,0.9230769230769231,0.29411764705882354,0.9375,5.0,OAUTHC,64,13
