label,scorer,oauthc_auroc,oauthc_spec_at_sens95,oauthc_spec_at_sens96,overall_auroc,gap_to_retrooau_ceiling
A0 Harmony (base),harmony_probe,0.6832579185520362,0.27450980392156865,0.27450980392156865,0.6559233449477352,0.11674208144796383
A1 batch-correction,batch_corrected_probe,0.6153846153846154,0.11764705882352941,0.11764705882352941,0.6536585365853659,0.18461538461538463
raw CONCH-TITAN probe,slidefm_linearprobe,0.607843137254902,,,0.6461672473867596,0.19215686274509802
A3 tile-MIL OAUTHC-adapt,tilemil_oauthc_adapt,0.5897435897435899,0.0,0.0,0.6134146341463415,0.21025641025641018
champion (calibrated_pool),calibrated_pool,0.579185520361991,,,0.7127177700348433,0.22081447963800904
A2 stain-norm (image),stainnorm_probe,0.4841628959276018,0.0784313725490196,0.0784313725490196,0.5909407665505226,0.31583710407239823
