comparison,n_tiles,fid,kid_x1000
LASUTH vs retrospective_msk,480,175.12513732910156,107.52184689044952
LUTH vs retrospective_msk,992,166.07057189941406,109.85301434993744
OAUTHC vs retrospective_msk,2000,90.70414733886719,62.817320227622986
UITH vs retrospective_msk,384,123.95469665527344,87.26616948843002
retrospective_oau vs retrospective_msk,2000,42.32130432128906,28.703104704618454
"stain (retro_msk vs retro_oau, same patients)",2000,41.7915153503418,28.208792209625244
"cut (retro_oau vs OAUTHC, same stain lab)",2000,82.32662200927734,61.17900460958481
biology: MSI-H vs MSS tiles (all sites),2000,23.53277587890625,4.694485571235418
noise floor: OAUTHC split-half,2000,15.490009307861328,0.09547472291160375
