comparison,n_slides_a,n_slides_b,kl_rgb_joint,kl_rgb_joint_null,kl_hematoxylin_od,kl_hematoxylin_od_null,kl_eosin_od,kl_eosin_od_null
LASUTH vs retrospective_msk,15,97,3.9664437770843506,0.17876467160880566,0.09722601622343063,0.02157683646539226,1.0246539115905762,0.040831435872241854
LUTH vs retrospective_msk,31,97,1.837785243988037,0.07286709558218718,0.16978365182876587,0.014567892621271313,0.02609795704483986,0.01899949767277576
OAUTHC vs retrospective_msk,476,97,4.63812255859375,0.048763317540287975,0.0867946594953537,0.0070499692601151765,0.3731454908847809,0.009440474106231705
UITH vs retrospective_msk,12,97,6.219352722167969,0.1730014408379793,0.13025224208831787,0.028625035248696803,0.9803243279457092,0.044314696732908485
retrospective_oau vs retrospective_msk,172,97,0.40511590242385864,0.029663513889536263,0.09726071357727051,0.004091818493325263,0.1624538004398346,0.004707369428360835
"stain (retro_msk vs retro_oau, same patients)",97,172,0.43327441811561584,0.02711579019203782,0.148965522646904,0.004011673923814669,0.14385145902633667,0.004162507085129619
"cut (retro_oau vs OAUTHC, same stain lab)",172,476,1.9063138961791992,0.028462905883789063,0.08841385692358017,0.004420579532161355,0.14474527537822723,0.0054323184257373215
