site,n_patients,n_msih,slides_per_patient_mss,slides_per_patient_msih,auroc_max_sqrtn,auroc_mean,auroc_one_random_slide,auroc_slide_level,auroc_minus_n_slides
ALL,217,47,3.8176470588235296,3.276595744680851,0.7166458072590739,0.6591989987484356,0.65030788485607,0.571698717307346,0.5546307884856071
LASUTH,13,3,1.2,1.0,0.9333333333333333,0.9333333333333333,0.9216666666666671,0.9166666666666666,0.55
LUTH,19,3,1.6875,1.3333333333333333,0.8541666666666666,0.8125,0.7643055555555555,0.75,0.5520833333333333
OAUTHC,81,17,6.140625,4.882352941176471,0.6158088235294117,0.45128676470588236,0.46839154411764705,0.43949845182255737,0.6263786764705882
UITH,10,4,1.0,1.5,0.75,0.7916666666666667,0.7480555555555556,0.6944444444444444,0.25
retrospective_msk,94,20,1.0405405405405406,1.0,0.7756756756756756,0.7743243243243244,0.7733693693693694,0.7766233766233767,0.5202702702702703
retrospective_oau,83,19,2.09375,2.0,0.8256578947368421,0.790296052631579,0.7996299342105262,0.8042026708562452,0.5234375
