method,auroc_mean,auroc_std,ece_mean,ece_std,brier_mean,brier_std,slope_mean,slope_std,intercept_mean,intercept_std,n_distinct_probs_mean,n_distinct_probs_std,sens_mean,sens_std,spec_mean,spec_std
isotonic,0.5410112640801001,0.0148986428219066,0.06256533336063669,0.014000820520567498,0.17407337850096855,0.003001684886233426,0.03813116797651226,0.026730256110316257,-1.224547291057775,0.04601472866714932,27.12,2.623597779028343,0.9502127659574469,0.013325416545156833,0.08611764705882355,0.008212969225459237
platt,0.4978473091364205,0.03279340637529627,0.03978555150175174,0.015286778688117085,0.17127378717986982,0.0013245056372287371,-0.36329374639810524,0.7575640514810804,-1.7623935852967803,0.991416245001097,194.08,4.610723968120844,0.9340425531914894,0.03107150197608038,0.0871764705882353,0.006583646146487695
uncalibrated,0.5490613266583229,0.0,,,,,,,,,197.0,0.0,0.9455319148936171,0.017806466280701316,0.09,0.0027230002934486783
