site,n_patients,n_msih,auroc,ci_low,ci_high,sens_at_global_thr,spec_at_global_thr,mss_score_median
ALL,217,47,0.7166458072590739,0.630531914893617,0.7992615769712139,0.9574468085106383,0.1411764705882353,0.2516365999959588
LASUTH,13,3,0.9333333333333333,0.7333333333333333,1.0,1.0,0.3,0.27307850882106766
LUTH,19,3,0.8541666666666666,0.625,1.0,1.0,0.375,0.17911519127542383
OAUTHC,81,17,0.6158088235294117,0.453125,0.7638097426470587,0.8823529411764706,0.109375,0.27057608603042727
UITH,10,4,0.75,0.375,1.0,1.0,0.5,0.2125632986426353
retrospective,94,20,0.7824324324324324,0.670929054054054,0.8817567567567567,1.0,0.06756756756756757,0.23455181607026754
