method,auroc_mean,auroc_std,ece_mean,ece_std,brier_mean,brier_std,slope_mean,slope_std,intercept_mean,intercept_std,n_distinct_probs_mean,n_distinct_probs_std,sens_mean,sens_std,spec_mean,spec_std
isotonic,0.5231326658322903,0.01545204851257558,0.04693380572478041,0.011893876848085804,0.17384021034043048,0.002191361061609579,0.052972540656886856,0.1677326185091161,-1.2253236898103153,0.23201544128006213,27.16,2.9510288762686527,0.9565957446808511,0.016060601597109897,0.020705882352941175,0.01159785646997386
platt,0.5177997496871088,0.02463396041166321,0.04511441737833021,0.018322228524228896,0.1710266162205543,0.0015157004078085777,0.06846263513150108,0.49050030593729527,-1.2010723971187678,0.6402989002254096,204.02,2.527320110072218,0.9455319148936171,0.019773198744426273,0.028823529411764706,0.012923156722041763
uncalibrated,0.5536921151439299,0.0,,,,,,,,,207.0,0.0,0.9506382978723404,0.011724803356830371,0.02776470588235294,0.011646464631307843
