encoder,comparison,n_a,n_b,fd,null_mean,excess_fd,fd_ratio,p,site_macro_auroc,site_balanced_acc,auroc_stain,auroc_cut
ctranspath_mean,LASUTH vs retrospective_msk,15.0,97.0,1716.7495708962035,176.1743639671531,1540.5752069290504,9.744604902994192,0.004975124378109453,,,,
ctranspath_mean,LUTH vs retrospective_msk,31.0,97.0,1771.9949780715779,232.04319693345747,1539.9517811381204,7.636487522535423,0.004975124378109453,,,,
ctranspath_mean,OAUTHC vs retrospective_msk,476.0,97.0,1009.4392706214597,119.1002437395081,890.3390268819517,8.47554328124861,0.004975124378109453,,,,
ctranspath_mean,UITH vs retrospective_msk,12.0,97.0,1073.2366210336108,142.72977740271924,930.5068436308916,7.519360294421394,0.004975124378109453,,,,
ctranspath_mean,retrospective_oau vs retrospective_msk,172.0,97.0,453.8892794740699,55.537947133710496,398.3513323403594,8.17259734828347,0.004975124378109453,,,,
ctranspath_mean,"stain (retro_msk vs retro_oau, same patients)",97.0,172.0,453.8892794740699,55.97774573324636,397.91153374082353,8.10838795897591,0.004975124378109453,,,,
ctranspath_mean,"cut (retro_oau vs OAUTHC, same stain lab)",172.0,476.0,577.8333839370127,107.63161437333379,470.20176956367897,5.3686213600097545,0.004975124378109453,,,,
ctranspath_mean,biology: MSI-H vs MSS (all sites),154.0,649.0,114.67842742350925,113.32035738985886,1.3580700336503924,1.0119843430159525,0.4129353233830846,,,,
ctranspath_mean,biology: MSI-H vs MSS (OAUTHC),83.0,393.0,210.6693696838409,188.61612314562967,22.053246538211226,1.116921322368523,0.31840796019900497,,,,
ctranspath_mean,site_predictability,,,,,,,,0.9891651525769279,0.9134689309582297,1.0,0.9997312878639828
uni2_mean,LASUTH vs retrospective_msk,15.0,97.0,2646.735045808832,276.82777353830903,2369.907272270523,9.560944741848894,0.004975124378109453,,,,
uni2_mean,LUTH vs retrospective_msk,31.0,97.0,3286.263282167859,447.48763423087047,2838.7756479369887,7.343808031290515,0.004975124378109453,,,,
uni2_mean,OAUTHC vs retrospective_msk,476.0,97.0,1931.8108158916116,255.0575731991678,1676.7532426924438,7.574018648656674,0.004975124378109453,,,,
uni2_mean,UITH vs retrospective_msk,12.0,97.0,1820.0925905878044,246.86365478187912,1573.2289358059252,7.372865771577352,0.004975124378109453,,,,
uni2_mean,retrospective_oau vs retrospective_msk,172.0,97.0,875.9892228589915,92.98995959814354,782.999263260848,9.420255978651698,0.004975124378109453,,,,
uni2_mean,"stain (retro_msk vs retro_oau, same patients)",97.0,172.0,875.9892228589915,93.91699899115319,782.0722238678384,9.32727016694292,0.004975124378109453,,,,
uni2_mean,"cut (retro_oau vs OAUTHC, same stain lab)",172.0,476.0,1391.7403444954864,239.26841046043563,1152.4719340350507,5.81664893337693,0.004975124378109453,,,,
uni2_mean,biology: MSI-H vs MSS (all sites),154.0,649.0,196.23536561518395,238.15139718846729,-41.916031573283334,0.8239941815663084,0.6965174129353234,,,,
uni2_mean,biology: MSI-H vs MSS (OAUTHC),83.0,393.0,328.9302614762718,380.544464763191,-51.61420328691918,0.8643674837865841,0.6467661691542289,,,,
uni2_mean,site_predictability,,,,,,,,0.9939680484865135,0.8943316011075598,1.0,1.0
virchow2_mean,LASUTH vs retrospective_msk,15.0,97.0,4202.1479631293205,496.4379613081535,3705.7100018211668,8.464598380140645,0.004975124378109453,,,,
virchow2_mean,LUTH vs retrospective_msk,31.0,97.0,5437.60444022991,785.641602409652,4651.962837820258,6.921227724642076,0.004975124378109453,,,,
virchow2_mean,OAUTHC vs retrospective_msk,476.0,97.0,2566.6727570711546,364.009336099153,2202.6634209720014,7.051117931689573,0.004975124378109453,,,,
virchow2_mean,UITH vs retrospective_msk,12.0,97.0,2236.838487219132,433.41663373633753,1803.4218534827942,5.160942873687397,0.004975124378109453,,,,
virchow2_mean,retrospective_oau vs retrospective_msk,172.0,97.0,864.3842544069498,202.55487694936542,661.8293774575844,4.267407763393563,0.004975124378109453,,,,
virchow2_mean,"stain (retro_msk vs retro_oau, same patients)",97.0,172.0,864.3842544069518,201.16704654277498,663.2172078641768,4.296848163067076,0.004975124378109453,,,,
virchow2_mean,"cut (retro_oau vs OAUTHC, same stain lab)",172.0,476.0,2009.5041670231672,337.7832250930623,1671.7209419301048,5.9490940275957485,0.004975124378109453,,,,
virchow2_mean,biology: MSI-H vs MSS (all sites),154.0,649.0,297.2491817801607,360.0236696746713,-62.77448789451057,0.8256378866666306,0.7014925373134329,,,,
virchow2_mean,biology: MSI-H vs MSS (OAUTHC),83.0,393.0,471.5479764873008,562.5682177060964,-91.02024121879566,0.8382058595667992,0.6716417910447762,,,,
virchow2_mean,site_predictability,,,,,,,,0.9938230069705791,0.8825468797171281,1.0,0.9999145006839945
conch_v1.5_titan,LASUTH vs retrospective_msk,15.0,97.0,845.3330536945482,203.40193302412968,641.9311206704185,4.155973550134678,0.004975124378109453,,,,
conch_v1.5_titan,LUTH vs retrospective_msk,31.0,97.0,1002.4527974959278,193.4926914767394,808.9601060191884,5.180830293098885,0.004975124378109453,,,,
conch_v1.5_titan,OAUTHC vs retrospective_msk,475.0,97.0,962.2760947279281,98.74762745761934,863.5284672703087,9.74480217401597,0.004975124378109453,,,,
conch_v1.5_titan,UITH vs retrospective_msk,12.0,97.0,1103.59127489625,230.97968320253574,872.6115916937143,4.777871627473661,0.004975124378109453,,,,
conch_v1.5_titan,retrospective_oau vs retrospective_msk,172.0,97.0,404.36803620955425,102.52527712202289,301.84275908753136,3.9440813773981422,0.004975124378109453,,,,
conch_v1.5_titan,"stain (retro_msk vs retro_oau, same patients)",97.0,172.0,404.36803620955425,102.82566185412628,301.54237435542797,3.9325595276324243,0.004975124378109453,,,,
conch_v1.5_titan,"cut (retro_oau vs OAUTHC, same stain lab)",172.0,475.0,488.3990578285792,88.58950246719436,399.8095553613848,5.513057915743895,0.004975124378109453,,,,
conch_v1.5_titan,biology: MSI-H vs MSS (all sites),154.0,648.0,82.5779152929339,101.08208996429344,-18.50417467135955,0.8169391365186848,0.7810945273631841,,,,
conch_v1.5_titan,biology: MSI-H vs MSS (OAUTHC),83.0,392.0,142.3982206056603,151.35070702525599,-8.952486419595687,0.9408493914858173,0.5074626865671642,,,,
conch_v1.5_titan,site_predictability,,,,,,,,0.9738758665078963,0.757448002351465,0.9998801246703429,0.9998408812729498
phaet_mean,LASUTH vs retrospective_msk,15.0,97.0,1784.2510198867956,180.32491454671262,1603.926105340083,9.894645032118348,0.004975124378109453,,,,
phaet_mean,LUTH vs retrospective_msk,31.0,97.0,2018.6887357326932,285.6094672520384,1733.0792684806547,7.068003575495222,0.004975124378109453,,,,
phaet_mean,OAUTHC vs retrospective_msk,476.0,97.0,1136.0302038617913,168.6572746181554,967.3729292436359,6.735732012946338,0.004975124378109453,,,,
phaet_mean,UITH vs retrospective_msk,12.0,97.0,1095.5128086490158,157.41197225782034,938.1008363911955,6.959526603571858,0.004975124378109453,,,,
phaet_mean,retrospective_oau vs retrospective_msk,172.0,97.0,439.6544183990976,64.98312943879058,374.67128896030704,6.765670139250839,0.004975124378109453,,,,
phaet_mean,"stain (retro_msk vs retro_oau, same patients)",97.0,172.0,439.6544183990973,65.20516075216568,374.44925764693164,6.742632229221135,0.004975124378109453,,,,
phaet_mean,"cut (retro_oau vs OAUTHC, same stain lab)",172.0,476.0,826.8606814776456,156.76316926080082,670.0975122168447,5.274585129763672,0.004975124378109453,,,,
phaet_mean,biology: MSI-H vs MSS (all sites),154.0,649.0,154.8609344881934,159.020973205425,-4.1600387172316005,0.9738396852102168,0.4975124378109453,,,,
phaet_mean,biology: MSI-H vs MSS (OAUTHC),83.0,393.0,248.61103347352716,258.57446690675124,-9.963433433224083,0.9614678372833418,0.4626865671641791,,,,
phaet_mean,site_predictability,,,,,,,,0.9957062639173695,0.8713859662394589,1.0,0.9999755716239984
mascaret_mean,LASUTH vs retrospective_msk,15.0,97.0,2092.5030638189364,307.79418410794335,1784.7088797109932,6.798384023673092,0.004975124378109453,,,,
mascaret_mean,LUTH vs retrospective_msk,31.0,97.0,2590.5569070974793,423.0869645438626,2167.469942553617,6.1229891823549885,0.004975124378109453,,,,
mascaret_mean,OAUTHC vs retrospective_msk,476.0,97.0,1327.1035992120692,245.45093023385343,1081.6526689782158,5.406798002141084,0.004975124378109453,,,,
mascaret_mean,UITH vs retrospective_msk,12.0,97.0,892.502806681166,283.85990318088756,608.6429035002784,3.144166529615229,0.004975124378109453,,,,
mascaret_mean,retrospective_oau vs retrospective_msk,172.0,97.0,148.48980217685667,141.65129245783504,6.83850971902163,1.0482770725234098,0.36318407960199006,,,,
mascaret_mean,"stain (retro_msk vs retro_oau, same patients)",97.0,172.0,148.489802176856,141.1897807137278,7.300021463128189,1.0517036107445303,0.3582089552238806,,,,
mascaret_mean,"cut (retro_oau vs OAUTHC, same stain lab)",172.0,476.0,1203.8115773581555,227.90782084506375,975.9037565130918,5.2820108274236475,0.004975124378109453,,,,
mascaret_mean,biology: MSI-H vs MSS (all sites),154.0,649.0,203.64115383009604,241.26443861822062,-37.62328478812458,0.8440578934732272,0.681592039800995,,,,
mascaret_mean,biology: MSI-H vs MSS (OAUTHC),83.0,393.0,337.0468931943101,395.2931820443589,-58.24628885004881,0.8526504086187033,0.6368159203980099,,,,
mascaret_mean,site_predictability,,,,,,,,0.9854058913428725,0.8410176948999153,1.0,0.9998534297439906
virchow2_prism,LASUTH vs retrospective_msk,15.0,97.0,1207.7368148574537,271.869961155981,935.8668537014728,4.442332686267367,0.004975124378109453,,,,
virchow2_prism,LUTH vs retrospective_msk,31.0,97.0,1093.6359089659659,255.79275335310373,837.8431556128621,4.275476512253962,0.004975124378109453,,,,
virchow2_prism,OAUTHC vs retrospective_msk,476.0,97.0,812.0363656047443,119.87417878199663,692.1621868227477,6.774072397038188,0.004975124378109453,,,,
virchow2_prism,UITH vs retrospective_msk,12.0,97.0,1210.946708928186,306.865760472347,904.0809484558389,3.9461773352107476,0.004975124378109453,,,,
virchow2_prism,retrospective_oau vs retrospective_msk,172.0,97.0,381.178312942506,105.52815186546916,275.65016107703684,3.6121007162945955,0.004975124378109453,,,,
virchow2_prism,"stain (retro_msk vs retro_oau, same patients)",97.0,172.0,381.17831294250766,104.36960940457065,276.808703537937,3.652196411552487,0.004975124378109453,,,,
virchow2_prism,"cut (retro_oau vs OAUTHC, same stain lab)",172.0,476.0,569.9946950012447,107.30192522449451,462.6927697767502,5.31206400825256,0.004975124378109453,,,,
virchow2_prism,biology: MSI-H vs MSS (all sites),154.0,649.0,115.85767591219282,116.620133619976,-0.7624577077831844,0.9934620405232276,0.48756218905472637,,,,
virchow2_prism,biology: MSI-H vs MSS (OAUTHC),83.0,393.0,217.5427113416229,197.3648962704359,20.177815071186984,1.1022360888510725,0.30845771144278605,,,,
virchow2_prism,site_predictability,,,,,,,,0.9516262431222412,0.7355198779769446,0.9993406856868856,0.9968243111197967
conch_v1.5_titan_harmony,LASUTH vs retrospective_msk,15.0,97.0,12.214848469964538,6.150192691051928,6.06465577891261,1.9860919947656652,0.03482587064676617,,,,
conch_v1.5_titan_harmony,LUTH vs retrospective_msk,31.0,97.0,16.53100760522427,4.430238102311961,12.10076950291231,3.73140387118187,0.004975124378109453,,,,
conch_v1.5_titan_harmony,OAUTHC vs retrospective_msk,475.0,97.0,2.977346394961371,1.3935040110992856,1.5838423838620854,2.136589755929478,0.004975124378109453,,,,
conch_v1.5_titan_harmony,UITH vs retrospective_msk,12.0,97.0,19.39770756701493,8.521366225513045,10.876341341501885,2.276361214113533,0.03980099502487562,,,,
conch_v1.5_titan_harmony,retrospective_oau vs retrospective_msk,172.0,97.0,1.7343722209281396,4.9042967769965955,-3.169924556068456,0.35364340695349883,1.0,,,,
conch_v1.5_titan_harmony,"stain (retro_msk vs retro_oau, same patients)",97.0,172.0,1.7343722209281374,4.9681107645821445,-3.233738543654007,0.3491009567042153,1.0,,,,
conch_v1.5_titan_harmony,"cut (retro_oau vs OAUTHC, same stain lab)",172.0,475.0,1.9899878014529562,1.4151954407935394,0.5747923606594167,1.4061575836741778,0.07462686567164178,,,,
conch_v1.5_titan_harmony,biology: MSI-H vs MSS (all sites),154.0,648.0,2.7648889144840245,2.008898310201782,0.7559906042822426,1.3763209916814096,0.14427860696517414,,,,
conch_v1.5_titan_harmony,biology: MSI-H vs MSS (OAUTHC),83.0,392.0,6.089100526643158,4.926073596704113,1.1630269299390443,1.236096133585416,0.21393034825870647,,,,
