site,mean_r,mean_g,mean_b,h_r,h_g,h_b,e_r,e_g,e_b,h_max,e_max,tissue_fraction,mpp
LASUTH,181.67902027294255,117.6987636004514,181.6724018166642,0.5304497205668897,0.7342433901720223,0.2549487949589246,0.2671774668550012,0.9334552367093528,0.2588137461677341,2.094932279687167,2.003736331921928,0.3230973088331464,0.25
LUTH,186.7254405251565,160.1762537053966,209.23510077636524,0.6138595576462637,0.6887987500766778,0.2598166494427241,0.3563384403630413,0.8895384363197681,0.197146894173481,1.1401186645027437,0.9838739135379,0.3468745174490426,0.26178
OAUTHC,159.99240432652664,118.04643733536774,169.0169970793788,0.6077074888437413,0.7490863791902855,0.1970853840929925,0.3516755241366534,0.890672750948481,0.1917353700940468,1.586779947862821,1.3650042935158115,0.3545616031864306,0.259965
UITH,144.04686071707198,92.42393238703536,156.37769092927394,0.6141279449157881,0.7625816108457852,0.1835748517059786,0.31878674391392925,0.9285736262314377,0.1902970203018313,1.7623726221011042,1.5861107105708463,0.38533752727722875,0.259965
retrospective_msk,182.6114693492368,159.04461656155402,230.59669959123065,0.7191783773094591,0.688482063066011,0.109164454384645,0.5194294173154531,0.8433133875700329,0.0861140275811557,1.859395191110176,1.1342053246118966,0.3231951437915282,0.259965
retrospective_oau,171.2995018050669,138.4933981357876,223.5686894512531,0.6986172950120286,0.6834421227228222,0.19805277691993534,0.48112137598229804,0.874271225089672,0.0775324489352873,1.5217688961045805,1.5148927821470022,0.3410732158708619,0.259965
