threshold,site,n_bin,n_patients,n_patients_lost,aggregator,auroc
0.2,retrospective_msk,all,84,,mean,0.7919028340080971
0.2,retrospective_oau,all,2,,mean,1.0
0.2,__overall__,1,58,,mean,0.5437589670014348
0.2,__overall__,2-3,97,,mean,0.7344444444444445
0.2,__overall__,4-6,15,,mean,0.7857142857142857
0.2,__overall__,7+,17,,mean,0.26666666666666666
0.2,OAUTHC,1,27,,mean,0.4276315789473684
0.2,OAUTHC,2-3,20,,mean,0.5066666666666666
0.2,OAUTHC,4-6,9,,mean,0.625
0.2,OAUTHC,7+,17,,mean,0.26666666666666666
0.2,__overall__,all,187,30.0,max,0.6035993740219093
0.2,LASUTH,all,10,,max,0.8571428571428571
0.2,LUTH,all,12,,max,0.7037037037037037
0.2,OAUTHC,all,73,,max,0.38596491228070173
0.2,UITH,all,6,,max,0.7777777777777779
0.2,retrospective_msk,all,84,,max,0.8056680161943319
0.2,retrospective_oau,all,2,,max,1.0
0.2,__overall__,1,58,,max,0.5437589670014348
0.2,__overall__,2-3,97,,max,0.7438888888888888
0.2,__overall__,4-6,15,,max,0.9285714285714286
0.2,__overall__,7+,17,,max,0.3666666666666667
0.2,OAUTHC,1,27,,max,0.4276315789473684
0.2,OAUTHC,2-3,20,,max,0.5466666666666666
0.2,OAUTHC,4-6,9,,max,0.875
0.2,OAUTHC,7+,17,,max,0.3666666666666667
0.25,__overall__,all,182,35.0,mean,0.6432806324110673
0.25,LASUTH,all,10,,mean,0.9047619047619048
0.25,LUTH,all,10,,mean,0.875
0.25,OAUTHC,all,71,,mean,0.3943181818181818
0.25,UITH,all,6,,mean,0.7777777777777779
0.25,retrospective_msk,all,78,,mean,0.7752007136485282
0.25,retrospective_oau,all,7,,mean,1.0
0.25,__overall__,1,61,,mean,0.5388471177944861
0.25,__overall__,2-3,90,,mean,0.8001336898395722
0.25,__overall__,4-6,14,,mean,0.7692307692307692
0.25,__overall__,7+,17,,mean,0.23333333333333334
0.25,OAUTHC,1,29,,mean,0.42105263157894735
0.25,OAUTHC,2-3,16,,mean,0.6666666666666666
0.25,OAUTHC,4-6,9,,mean,0.625
0.25,OAUTHC,7+,17,,mean,0.23333333333333334
0.25,__overall__,all,182,35.0,max,0.6055665349143611
0.25,LASUTH,all,10,,max,0.8571428571428571
0.25,LUTH,all,10,,max,1.0
0.25,OAUTHC,all,71,,max,0.36363636363636365
0.25,UITH,all,6,,max,0.7777777777777779
0.25,retrospective_msk,all,78,,max,0.792149866190901
0.25,retrospective_oau,all,7,,max,1.0
0.25,__overall__,1,61,,max,0.5388471177944861
0.25,__overall__,2-3,90,,max,0.8008021390374331
0.25,__overall__,4-6,14,,max,0.9230769230769231
0.25,__overall__,7+,17,,max,0.3666666666666667
0.25,OAUTHC,1,29,,max,0.42105263157894735
0.25,OAUTHC,2-3,16,,max,0.6923076923076923
0.25,OAUTHC,4-6,9,,max,0.875
0.25,OAUTHC,7+,17,,max,0.3666666666666667
