estimand,n_patients,n_positive,auroc,auroc_ci_low,auroc_ci_high,spec_at_sens90,spec_at_sens95,spec_at_sens96,npv_at_sens95
primary_full,217,47,0.7166458072590739,0.630531914893617,0.7992615769712139,0.15294117647058825,0.1411764705882353,0.08235294117647059,0.9230769230769231
qc_sensitivity,181,41,0.7127177700348433,0.625065331010453,0.7945993031358884,0.19285714285714287,0.17857142857142858,0.07857142857142857,0.9259259259259259
definite_labels,177,47,0.7186579378068739,0.6294476268412438,0.8050736497545008,0.13846153846153847,0.12307692307692308,0.09230769230769231,0.8888888888888888
