site,n,prevalence,auroc,auprc
LASUTH,13,0.23076923076923078,0.9333333333333333,0.8666666666666667
LUTH,19,0.15789473684210525,0.8541666666666666,0.625
OAUTHC,81,0.20987654320987653,0.6158088235294117,0.2904354545059442
UITH,10,0.4,0.75,0.7095238095238094
retrospective,94,0.2127659574468085,0.7824324324324324,0.41467319751272547
