variant,lam,target,n_patients,n_msih,auroc,ci_low,ci_high,encoder
source-only LR,,OAUTHC,81,17,0.5588235294117647,0.3915211397058824,0.7224264705882353,mascaret_mean
source-only MLP,0.0,OAUTHC,81,17,0.4917279411764706,0.3409926470588235,0.640625,mascaret_mean
multi-source DANN,1.0,OAUTHC,81,17,0.4476102941176471,0.30696231617647063,0.593818933823529,mascaret_mean
DANN + unlabelled target,0.1,OAUTHC,81,17,0.5477941176470588,0.37773437500000007,0.7141773897058822,mascaret_mean
