variant,lam,target,n_patients,n_msih,auroc,ci_low,ci_high,encoder
source-only LR,,OAUTHC,81,17,0.5790441176470589,0.41727941176470584,0.7251838235294117,conch_v1.5_titan
source-only MLP,0.0,OAUTHC,81,17,0.4365808823529412,0.28860294117647056,0.5882352941176471,conch_v1.5_titan
multi-source DANN,0.3,OAUTHC,81,17,0.4338235294117647,0.29595588235294124,0.579986213235294,conch_v1.5_titan
DANN + unlabelled target,1.0,OAUTHC,81,17,0.4227941176470588,0.27111672794117647,0.5762867647058824,conch_v1.5_titan
