slide_id,dim_a,dim_b,dim_match,cosine,pearson,max_abs_diff,rel_l2
HP2074_21_5.pyramidal,768,768,True,0.9888196176961171,0.9888166115049563,0.21218040585517883,0.15100791938724875
MSI-B985-3-22-,768,768,True,0.9962639283414937,0.9962630901510295,0.1717039942741394,0.08638895505971969
H1079-22-9,768,768,True,0.9874401880940455,0.9874962917502808,0.20736108720302582,0.16431685631472928
H700-22-1,768,768,True,0.995384177704974,0.9953758716340338,0.13796639442443848,0.09754947649827124
T218_1-1,768,768,True,0.9829521206911431,0.9829672401472692,0.276692658662796,0.1854525182126499
T207-1-1-USS-2,768,768,True,0.9930050644956546,0.9930174638455586,0.2185984414536506,0.11807688304105855
HP1353_21_1.pyramidal,768,768,True,0.9826105381735366,0.9826363763808373,0.23017802834510803,0.1866259895060706
MSI-B985-22,768,768,True,0.9939556028813772,0.9939554654878142,0.13751232624053955,0.11021071551579752
