slide_id,backend_a,backend_b,model_a,model_b,n_a,n_b,n_matched,frac_matched_a,frac_matched_b,tile_px_level0_a,tile_px_level0_b,grid_dx_median,grid_dy_median,coverage_iou,dim_a,dim_b,dim_match,n_exact,cos_median,cos_p05,cos_min,max_abs_diff,mean_abs_diff,rel_l2,slide_mean_cos_all,slide_mean_pearson_all,slide_mean_cos_matched,slide_mean_pearson_matched,cos_median_exact,cos_p05_exact
HP2074_21_5.pyramidal,lazyslide,lazyslide,h-optimus-0,h-optimus-0,14906,11404,3680,0.24688045082517107,0.3226937916520519,448.0,512.0,0.0,0.0,0.9752464173945101,1536,1536,True,236,0.9899366000823487,0.974623686134188,0.8586656263969792,1.9360946416854858,0.0888817819507099,0.15408106056993737,0.9982358248997052,0.9982357116169035,0.9982809065452753,0.9982807973431419,0.9921648629444655,0.9818751786929208
MSI-B985-3-22-,lazyslide,lazyslide,h-optimus-0,h-optimus-0,21675,16484,5275,0.2433679354094579,0.3200072797864596,427.8401711360685,488.96019558407824,0.0,0.0,0.9033172934199535,1536,1536,True,327,0.9270700771375213,0.8104034627851532,0.5462910082477366,4.425091624259949,0.2293480527026836,0.41243855717764105,0.9653724505088997,0.965372599076981,0.9635204152377662,0.9635205805290078,0.939669760615877,0.8409698842014754
H1079-22-9,lazyslide,lazyslide,h-optimus-0,h-optimus-0,5188,3945,866,0.1669236700077101,0.21951837769328264,430.82722674206144,492.3739734194988,20.0,12.0,0.9479952279988897,1536,1536,True,0,0.9249359504834838,0.8391365013478974,0.5809976899518634,3.0262935757637024,0.22752658655095145,0.4073651939836641,0.9622682881007412,0.9622685247263102,0.9619651222782988,0.9619654125126497,,
H700-22-1,lazyslide,lazyslide,h-optimus-0,h-optimus-0,7612,5801,1380,0.1812926957435628,0.2378900189622479,430.82722674206144,492.3739734194988,12.0,16.0,0.952960668201186,1536,1536,True,0,0.9290778788300001,0.8453759299479137,0.3862351081032151,3.982641875743866,0.2260332393523827,0.4025943401353519,0.9812150348458732,0.9812148203362373,0.9813973855872182,0.9813971935337565,,
T218_1-1,lazyslide,lazyslide,h-optimus-0,h-optimus-0,6725,5123,1178,0.17516728624535316,0.22994339254343157,430.82722674206144,492.3739734194988,-14.0,2.0,0.9371339638561575,1536,1536,True,0,0.919654621469134,0.7715214824047669,0.5031592075023287,4.197826147079468,0.2408266421279123,0.4408447899850231,0.9581821898614693,0.9581823228113759,0.9585038540711528,0.9585039791632274,,
T207-1-1-USS-2,lazyslide,lazyslide,h-optimus-0,h-optimus-0,4299,3263,715,0.1663177483135613,0.21912350597609562,430.82722674206144,492.3739734194988,16.0,12.0,0.9444853739353883,1536,1536,True,0,0.9154565455075543,0.7927278271393529,0.6290323444664799,3.1057496070861816,0.24827277338349482,0.446715619826585,0.9558322233986191,0.9558322356915049,0.9549142990543169,0.9549142988824317,,
HP1353_21_1.pyramidal,lazyslide,lazyslide,h-optimus-0,h-optimus-0,4718,3603,1180,0.25010597710894444,0.32750485706355814,448.0,512.0,0.0,0.0,0.9398472290149038,1536,1536,True,72,0.9860608868450885,0.95786981082542,0.6605428447669939,2.605463806539774,0.10686918246335046,0.18981951244433648,0.9977641706749802,0.9977642395805788,0.9976562159241626,0.9976563525218771,0.9893223201743551,0.9745682191954328
MSI-B985-22,lazyslide,lazyslide,h-optimus-0,h-optimus-0,22076,16805,5353,0.24248052183366553,0.31853614995537044,427.8401711360685,488.96019558407824,0.0,0.0,0.89390458971205,1536,1536,True,334,0.9832893384004399,0.9551275860772626,0.7519279617350666,2.2991105020046234,0.1160153456754568,0.202478951896933,0.9946426017679079,0.9946422449432822,0.9948915198900488,0.9948914130306417,0.9851689627740966,0.9633011216843014
