variant,lam,target,n_patients,n_msih,auroc,ci_low,ci_high,encoder
source-only LR,,OAUTHC,81,17,0.5542279411764707,0.3887867647058824,0.7160156249999998,virchow2_prism
source-only MLP,0.0,OAUTHC,81,17,0.5735294117647058,0.3998161764705882,0.7399126838235294,virchow2_prism
multi-source DANN,0.3,OAUTHC,81,17,0.5928308823529411,0.40990349264705883,0.7665670955882351,virchow2_prism
DANN + unlabelled target,0.3,OAUTHC,81,17,0.6029411764705881,0.4236902573529412,0.7730009191176468,virchow2_prism
