strategy,regime,n,auroc,auprc,bal_acc
knn9:virchow2_mean,patient_cv,802,0.4456469456469456,0.17246848859385372,0.4662097162097162
knn9:virchow2_mean,loso,802,0.36236371653038313,0.1595926020978966,0.47874579124579125
proto:virchow2_mean,patient_cv,802,0.44558682058682064,0.16274857956428768,0.4811307519640853
proto:virchow2_mean,loso,802,0.46943642776976113,0.18183217297325274,0.4812109187109187
knn3:conch_v1.5_titan,patient_cv,802,0.5025953984287318,0.19347360136026004,0.48083012666346003
knn3:conch_v1.5_titan,loso,802,0.4866321949655283,0.1877930290050696,0.4937870771204104
knn5:conch_v1.5_titan,patient_cv,802,0.4729938271604938,0.18470571641507336,0.4730539522206189
knn5:conch_v1.5_titan,loso,802,0.5087081128747796,0.197498532121821,0.5033369408369408
knn9:conch_v1.5_titan,patient_cv,802,0.44587241462241467,0.1740713568841019,0.4870731120731121
knn9:conch_v1.5_titan,loso,802,0.5359798380631714,0.20470237776566177,0.5079365079365079
proto:conch_v1.5_titan,patient_cv,802,0.3286135161135161,0.13577776379012194,0.37906846240179576
proto:conch_v1.5_titan,loso,802,0.4927549302549302,0.1865437295788148,0.5199314574314574
knn3:virchow2_prism,patient_cv,802,0.49010942760942766,0.18757920967317504,0.48822550905884243
knn3:virchow2_prism,loso,802,0.474987974987975,0.18812319141888775,0.4933962642295976
knn5:virchow2_prism,patient_cv,802,0.49457371332371336,0.18656658674304616,0.4857202982202982
knn5:virchow2_prism,loso,802,0.4482573753407087,0.174470862057251,0.4726330767997435
knn9:virchow2_prism,patient_cv,802,0.5012125220458553,0.18761905353441677,0.4926346801346801
knn9:virchow2_prism,loso,802,0.4583984688151355,0.17810625551856585,0.4925044091710758
proto:virchow2_prism,patient_cv,802,0.5051406926406926,0.1878580257110763,0.5160734327400994
proto:virchow2_prism,loso,802,0.5103515311848644,0.2245034142036776,0.4992584575917909
