variant,lam,target,n_patients,n_msih,auroc,ci_low,ci_high,encoder
source-only LR,,OAUTHC,81,17,0.4466911764705882,0.2922564338235294,0.5983685661764705,ctranspath_mean
source-only MLP,0.0,OAUTHC,81,17,0.4016544117647059,0.25089613970588237,0.550597426470588,ctranspath_mean
multi-source DANN,0.3,OAUTHC,81,17,0.3740808823529412,0.23069852941176472,0.5147518382352939,ctranspath_mean
DANN + unlabelled target,0.3,OAUTHC,81,17,0.45496323529411764,0.3032858455882353,0.5983685661764705,ctranspath_mean
