embedding,K,n_train_per_class,patient_auroc,spec_at_sens95
TITAN,1,1,0.5145644599303136,
TITAN,2,2,0.5068989547038327,
TITAN,4,4,0.5034843205574914,
TITAN,8,8,0.5279268292682927,
TITAN,16,16,0.5500871080139373,
TITAN,all,101,0.6461672473867596,0.22857142857142856
PRISM,1,1,0.5385975609756098,
PRISM,2,2,0.4991114982578398,
PRISM,4,4,0.5232926829268292,
PRISM,8,8,0.555766550522648,
PRISM,16,16,0.5248606271777004,
PRISM,all,101,0.6425087108013938,0.10714285714285714
